split,sample_index,source_class,true_label,predicted_label,ai_score,classification_threshold,correct,error_category
validation,0,1,1,1,0.9315746426582336,0.8164787888526917,True,true positive
validation,1,1,1,1,0.945705771446228,0.8164787888526917,True,true positive
validation,2,5,1,0,0.6660680770874023,0.8164787888526917,False,false negative
validation,3,5,1,1,0.987472414970398,0.8164787888526917,True,true positive
validation,4,2,1,1,0.9745945334434509,0.8164787888526917,True,true positive
validation,5,3,1,1,0.9796850085258484,0.8164787888526917,True,true positive
validation,6,1,1,1,0.8798084259033203,0.8164787888526917,True,true positive
validation,7,1,1,0,0.6071825623512268,0.8164787888526917,False,false negative
validation,8,1,1,1,0.9892925024032593,0.8164787888526917,True,true positive
validation,9,1,1,1,0.9554080963134766,0.8164787888526917,True,true positive
validation,10,3,1,1,0.9803068041801453,0.8164787888526917,True,true positive
validation,11,5,1,0,0.533113956451416,0.8164787888526917,False,false negative
validation,12,4,1,1,0.9997327923774719,0.8164787888526917,True,true positive
validation,13,1,1,1,0.8957576155662537,0.8164787888526917,True,true positive
validation,14,4,1,1,0.9990881681442261,0.8164787888526917,True,true positive
validation,15,1,1,0,0.7053571343421936,0.8164787888526917,False,false negative
validation,16,5,1,1,0.9909225106239319,0.8164787888526917,True,true positive
validation,17,3,1,0,0.5982070565223694,0.8164787888526917,False,false negative
validation,18,2,1,1,0.9392427206039429,0.8164787888526917,True,true positive
validation,19,4,1,0,0.6901772022247314,0.8164787888526917,False,false negative
validation,20,3,1,1,0.8823052644729614,0.8164787888526917,True,true positive
validation,21,4,1,1,0.9918016791343689,0.8164787888526917,True,true positive
validation,22,2,1,1,0.9879969954490662,0.8164787888526917,True,true positive
validation,23,2,1,1,0.9827427864074707,0.8164787888526917,True,true positive
validation,24,1,1,1,0.9923646450042725,0.8164787888526917,True,true positive
validation,25,2,1,1,0.9574248194694519,0.8164787888526917,True,true positive
validation,26,1,1,0,0.8059740662574768,0.8164787888526917,False,false negative
validation,27,3,1,1,0.9369029998779297,0.8164787888526917,True,true positive
validation,28,1,1,1,0.9707043766975403,0.8164787888526917,True,true positive
validation,29,3,1,1,0.9232597351074219,0.8164787888526917,True,true positive
validation,30,4,1,1,0.9966341853141785,0.8164787888526917,True,true positive
validation,31,0,0,0,0.8021602034568787,0.8164787888526917,True,true negative
validation,32,0,0,1,0.9256455302238464,0.8164787888526917,False,false positive
validation,33,0,0,0,0.5351079106330872,0.8164787888526917,True,true negative
validation,34,2,1,1,0.9366713762283325,0.8164787888526917,True,true positive
validation,35,3,1,1,0.9625111222267151,0.8164787888526917,True,true positive
validation,36,3,1,1,0.8835543394088745,0.8164787888526917,True,true positive
validation,37,3,1,1,0.9783017635345459,0.8164787888526917,True,true positive
validation,38,4,1,0,0.3100016117095947,0.8164787888526917,False,false negative
validation,39,5,1,1,0.9594920873641968,0.8164787888526917,True,true positive
validation,40,0,0,0,0.6714395880699158,0.8164787888526917,True,true negative
validation,41,4,1,1,0.9723904132843018,0.8164787888526917,True,true positive
validation,42,5,1,1,0.944360613822937,0.8164787888526917,True,true positive
validation,43,1,1,1,0.9875761270523071,0.8164787888526917,True,true positive
validation,44,4,1,1,0.9844837784767151,0.8164787888526917,True,true positive
validation,45,3,1,1,0.9415234923362732,0.8164787888526917,True,true positive
validation,46,2,1,1,0.9940529465675354,0.8164787888526917,True,true positive
validation,47,3,1,1,0.9489957690238953,0.8164787888526917,True,true positive
validation,48,4,1,1,0.9948152899742126,0.8164787888526917,True,true positive
validation,49,3,1,1,0.9910928606987,0.8164787888526917,True,true positive
validation,50,2,1,0,0.706416130065918,0.8164787888526917,False,false negative
validation,51,5,1,1,0.9448526501655579,0.8164787888526917,True,true positive
validation,52,3,1,0,0.7373084425926208,0.8164787888526917,False,false negative
validation,53,5,1,1,0.9387395977973938,0.8164787888526917,True,true positive
validation,54,1,1,0,0.7860350608825684,0.8164787888526917,False,false negative
validation,55,4,1,1,0.9867748022079468,0.8164787888526917,True,true positive
validation,56,5,1,1,0.9935566782951355,0.8164787888526917,True,true positive
validation,57,5,1,1,0.8898606896400452,0.8164787888526917,True,true positive
validation,58,0,0,1,0.9407967925071716,0.8164787888526917,False,false positive
validation,59,4,1,1,0.9275462627410889,0.8164787888526917,True,true positive
validation,60,4,1,1,0.982623279094696,0.8164787888526917,True,true positive
validation,61,1,1,1,0.982098400592804,0.8164787888526917,True,true positive
validation,62,0,0,0,0.20775482058525085,0.8164787888526917,True,true negative
validation,63,2,1,0,0.43363991379737854,0.8164787888526917,False,false negative
validation,64,5,1,1,0.8761788606643677,0.8164787888526917,True,true positive
validation,65,5,1,0,0.5053156018257141,0.8164787888526917,False,false negative
validation,66,2,1,0,0.6965801119804382,0.8164787888526917,False,false negative
validation,67,3,1,1,0.8690063953399658,0.8164787888526917,True,true positive
validation,68,4,1,1,0.9504234194755554,0.8164787888526917,True,true positive
validation,69,0,0,0,0.34134408831596375,0.8164787888526917,True,true negative
validation,70,3,1,1,0.9808719158172607,0.8164787888526917,True,true positive
validation,71,3,1,1,0.9429036378860474,0.8164787888526917,True,true positive
validation,72,1,1,1,0.9492947459220886,0.8164787888526917,True,true positive
validation,73,3,1,0,0.7442419528961182,0.8164787888526917,False,false negative
validation,74,0,0,0,0.17781899869441986,0.8164787888526917,True,true negative
validation,75,0,0,0,0.5838407278060913,0.8164787888526917,True,true negative
validation,76,3,1,1,0.9025373458862305,0.8164787888526917,True,true positive
validation,77,4,1,1,0.8712491393089294,0.8164787888526917,True,true positive
validation,78,3,1,1,0.9632831811904907,0.8164787888526917,True,true positive
validation,79,4,1,1,0.9820313453674316,0.8164787888526917,True,true positive
validation,80,2,1,1,0.9663897752761841,0.8164787888526917,True,true positive
validation,81,1,1,1,0.99576735496521,0.8164787888526917,True,true positive
validation,82,2,1,1,0.9943114519119263,0.8164787888526917,True,true positive
validation,83,3,1,1,0.9979758858680725,0.8164787888526917,True,true positive
validation,84,5,1,1,0.8382741808891296,0.8164787888526917,True,true positive
validation,85,5,1,1,0.9813660383224487,0.8164787888526917,True,true positive
validation,86,5,1,0,0.8158955574035645,0.8164787888526917,False,false negative
validation,87,3,1,0,0.5363089442253113,0.8164787888526917,False,false negative
validation,88,4,1,1,0.9806592464447021,0.8164787888526917,True,true positive
validation,89,1,1,1,0.8180521130561829,0.8164787888526917,True,true positive
validation,90,2,1,1,0.9862029552459717,0.8164787888526917,True,true positive
validation,91,5,1,1,0.9027233123779297,0.8164787888526917,True,true positive
validation,92,4,1,1,0.9301921725273132,0.8164787888526917,True,true positive
validation,93,4,1,1,0.9338304400444031,0.8164787888526917,True,true positive
validation,94,3,1,1,0.9854551553726196,0.8164787888526917,True,true positive
validation,95,2,1,1,0.9956106543540955,0.8164787888526917,True,true positive
validation,96,0,0,1,0.8380560278892517,0.8164787888526917,False,false positive
validation,97,2,1,1,0.9764198064804077,0.8164787888526917,True,true positive
validation,98,0,0,0,0.15704186260700226,0.8164787888526917,True,true negative
validation,99,0,0,1,0.914214551448822,0.8164787888526917,False,false positive
validation,100,2,1,1,0.9124452471733093,0.8164787888526917,True,true positive
validation,101,1,1,1,0.948106050491333,0.8164787888526917,True,true positive
validation,102,3,1,1,0.9749191403388977,0.8164787888526917,True,true positive
validation,103,2,1,1,0.9686576128005981,0.8164787888526917,True,true positive
validation,104,4,1,1,0.9993415474891663,0.8164787888526917,True,true positive
validation,105,4,1,1,0.9970889687538147,0.8164787888526917,True,true positive
validation,106,5,1,1,0.979330837726593,0.8164787888526917,True,true positive
validation,107,5,1,1,0.9994239807128906,0.8164787888526917,True,true positive
validation,108,3,1,1,0.8862829804420471,0.8164787888526917,True,true positive
validation,109,3,1,0,0.28568294644355774,0.8164787888526917,False,false negative
validation,110,3,1,0,0.785200834274292,0.8164787888526917,False,false negative
validation,111,2,1,1,0.9708184003829956,0.8164787888526917,True,true positive
validation,112,1,1,1,0.9669370055198669,0.8164787888526917,True,true positive
validation,113,3,1,1,0.9873636364936829,0.8164787888526917,True,true positive
validation,114,3,1,1,0.9786591529846191,0.8164787888526917,True,true positive
validation,115,5,1,1,0.9989314675331116,0.8164787888526917,True,true positive
validation,116,4,1,0,0.8020963072776794,0.8164787888526917,False,false negative
validation,117,0,0,0,0.6572844982147217,0.8164787888526917,True,true negative
validation,118,1,1,0,0.43699121475219727,0.8164787888526917,False,false negative
validation,119,2,1,1,0.9503257274627686,0.8164787888526917,True,true positive
validation,120,4,1,1,0.9004943370819092,0.8164787888526917,True,true positive
validation,121,3,1,1,0.9508799910545349,0.8164787888526917,True,true positive
validation,122,0,0,1,0.9382396936416626,0.8164787888526917,False,false positive
validation,123,0,0,1,0.88798987865448,0.8164787888526917,False,false positive
validation,124,4,1,1,0.9796058535575867,0.8164787888526917,True,true positive
validation,125,5,1,0,0.797336757183075,0.8164787888526917,False,false negative
validation,126,4,1,1,0.9638622403144836,0.8164787888526917,True,true positive
validation,127,0,0,0,0.3153741955757141,0.8164787888526917,True,true negative
validation,128,1,1,0,0.703471839427948,0.8164787888526917,False,false negative
validation,129,0,0,0,0.3415689766407013,0.8164787888526917,True,true negative
validation,130,5,1,1,0.9535871744155884,0.8164787888526917,True,true positive
validation,131,0,0,1,0.9525579214096069,0.8164787888526917,False,false positive
validation,132,3,1,0,0.787125825881958,0.8164787888526917,False,false negative
validation,133,5,1,1,0.9796714186668396,0.8164787888526917,True,true positive
validation,134,4,1,1,0.9130403995513916,0.8164787888526917,True,true positive
validation,135,1,1,0,0.794769287109375,0.8164787888526917,False,false negative
validation,136,1,1,0,0.5659140944480896,0.8164787888526917,False,false negative
validation,137,5,1,0,0.6913711428642273,0.8164787888526917,False,false negative
validation,138,3,1,1,0.9256452322006226,0.8164787888526917,True,true positive
validation,139,2,1,1,0.9203102588653564,0.8164787888526917,True,true positive
validation,140,4,1,1,0.8790256977081299,0.8164787888526917,True,true positive
validation,141,0,0,0,0.5743991136550903,0.8164787888526917,True,true negative
validation,142,2,1,1,0.9728248119354248,0.8164787888526917,True,true positive
validation,143,1,1,1,0.9481920599937439,0.8164787888526917,True,true positive
validation,144,0,0,1,0.9659821391105652,0.8164787888526917,False,false positive
validation,145,3,1,1,0.9691465497016907,0.8164787888526917,True,true positive
validation,146,1,1,1,0.9841991662979126,0.8164787888526917,True,true positive
validation,147,1,1,1,0.9259017705917358,0.8164787888526917,True,true positive
validation,148,5,1,1,0.983537495136261,0.8164787888526917,True,true positive
validation,149,0,0,0,0.2293786257505417,0.8164787888526917,True,true negative
validation,150,3,1,0,0.7594820261001587,0.8164787888526917,False,false negative
validation,151,3,1,0,0.7430806159973145,0.8164787888526917,False,false negative
validation,152,3,1,1,0.9794529676437378,0.8164787888526917,True,true positive
validation,153,3,1,1,0.944123387336731,0.8164787888526917,True,true positive
validation,154,4,1,1,0.9999374151229858,0.8164787888526917,True,true positive
validation,155,2,1,1,0.9783573150634766,0.8164787888526917,True,true positive
validation,156,1,1,0,0.36120033264160156,0.8164787888526917,False,false negative
validation,157,4,1,1,0.968245267868042,0.8164787888526917,True,true positive
validation,158,0,0,0,0.5174460411071777,0.8164787888526917,True,true negative
validation,159,2,1,1,0.9478933811187744,0.8164787888526917,True,true positive
validation,160,3,1,1,0.9782293438911438,0.8164787888526917,True,true positive
validation,161,5,1,1,0.9747079014778137,0.8164787888526917,True,true positive
validation,162,3,1,1,0.8644173741340637,0.8164787888526917,True,true positive
validation,163,3,1,1,0.9120912551879883,0.8164787888526917,True,true positive
validation,164,3,1,1,0.9919201135635376,0.8164787888526917,True,true positive
validation,165,2,1,0,0.3214809000492096,0.8164787888526917,False,false negative
validation,166,0,0,0,0.7195001244544983,0.8164787888526917,True,true negative
validation,167,5,1,1,0.9996663331985474,0.8164787888526917,True,true positive
validation,168,3,1,1,0.9148571491241455,0.8164787888526917,True,true positive
validation,169,2,1,1,0.9346950054168701,0.8164787888526917,True,true positive
validation,170,2,1,1,0.9420574307441711,0.8164787888526917,True,true positive
validation,171,5,1,0,0.6929410099983215,0.8164787888526917,False,false negative
validation,172,4,1,1,0.9726390242576599,0.8164787888526917,True,true positive
validation,173,2,1,1,0.9907068610191345,0.8164787888526917,True,true positive
validation,174,5,1,1,0.9231656789779663,0.8164787888526917,True,true positive
validation,175,5,1,1,0.9252294898033142,0.8164787888526917,True,true positive
validation,176,0,0,1,0.9467341303825378,0.8164787888526917,False,false positive
validation,177,4,1,1,0.9996194839477539,0.8164787888526917,True,true positive
validation,178,4,1,1,0.9958860278129578,0.8164787888526917,True,true positive
validation,179,2,1,1,0.9164295792579651,0.8164787888526917,True,true positive
validation,180,4,1,1,0.9999059438705444,0.8164787888526917,True,true positive
validation,181,4,1,1,0.984847366809845,0.8164787888526917,True,true positive
validation,182,5,1,0,0.30409979820251465,0.8164787888526917,False,false negative
validation,183,3,1,0,0.7654961347579956,0.8164787888526917,False,false negative
validation,184,3,1,0,0.610163152217865,0.8164787888526917,False,false negative
validation,185,5,1,1,0.9942756295204163,0.8164787888526917,True,true positive
validation,186,3,1,1,0.9625989198684692,0.8164787888526917,True,true positive
validation,187,4,1,1,0.9859402179718018,0.8164787888526917,True,true positive
validation,188,3,1,1,0.9937449097633362,0.8164787888526917,True,true positive
validation,189,2,1,1,0.9099171161651611,0.8164787888526917,True,true positive
validation,190,0,0,0,0.7871952652931213,0.8164787888526917,True,true negative
validation,191,1,1,1,0.9712046384811401,0.8164787888526917,True,true positive
validation,192,0,0,0,0.5312702059745789,0.8164787888526917,True,true negative
validation,193,5,1,1,0.9945850968360901,0.8164787888526917,True,true positive
validation,194,3,1,1,0.9710220694541931,0.8164787888526917,True,true positive
validation,195,5,1,1,0.9991965889930725,0.8164787888526917,True,true positive
validation,196,5,1,1,0.9865164756774902,0.8164787888526917,True,true positive
validation,197,2,1,1,0.9114841222763062,0.8164787888526917,True,true positive
validation,198,1,1,1,0.898029625415802,0.8164787888526917,True,true positive
validation,199,4,1,1,0.9884250164031982,0.8164787888526917,True,true positive
validation,200,0,0,0,0.5030498504638672,0.8164787888526917,True,true negative
validation,201,1,1,1,0.9662015438079834,0.8164787888526917,True,true positive
validation,202,1,1,1,0.9736270308494568,0.8164787888526917,True,true positive
validation,203,2,1,1,0.9923036694526672,0.8164787888526917,True,true positive
validation,204,2,1,1,0.9548571109771729,0.8164787888526917,True,true positive
validation,205,5,1,0,0.7428331971168518,0.8164787888526917,False,false negative
validation,206,0,0,0,0.2556816041469574,0.8164787888526917,True,true negative
validation,207,0,0,1,0.9092901349067688,0.8164787888526917,False,false positive
validation,208,1,1,1,0.9537791609764099,0.8164787888526917,True,true positive
validation,209,0,0,0,0.24826852977275848,0.8164787888526917,True,true negative
validation,210,0,0,0,0.6422766447067261,0.8164787888526917,True,true negative
validation,211,3,1,1,0.853583574295044,0.8164787888526917,True,true positive
validation,212,1,1,1,0.9443790912628174,0.8164787888526917,True,true positive
validation,213,2,1,1,0.9888067245483398,0.8164787888526917,True,true positive
validation,214,5,1,0,0.6665936708450317,0.8164787888526917,False,false negative
validation,215,0,0,0,0.4565233290195465,0.8164787888526917,True,true negative
validation,216,2,1,1,0.9069403409957886,0.8164787888526917,True,true positive
validation,217,2,1,1,0.887212336063385,0.8164787888526917,True,true positive
validation,218,0,0,0,0.1738305389881134,0.8164787888526917,True,true negative
validation,219,1,1,1,0.8808842897415161,0.8164787888526917,True,true positive
validation,220,1,1,1,0.9707736968994141,0.8164787888526917,True,true positive
validation,221,4,1,1,0.9993299245834351,0.8164787888526917,True,true positive
validation,222,0,0,0,0.3324453830718994,0.8164787888526917,True,true negative
validation,223,0,0,0,0.5546047687530518,0.8164787888526917,True,true negative
validation,224,1,1,1,0.986034095287323,0.8164787888526917,True,true positive
validation,225,5,1,1,0.9983764886856079,0.8164787888526917,True,true positive
validation,226,3,1,0,0.7384315729141235,0.8164787888526917,False,false negative
validation,227,4,1,1,0.9992944002151489,0.8164787888526917,True,true positive
validation,228,0,0,0,0.5538395047187805,0.8164787888526917,True,true negative
validation,229,2,1,1,0.9688296914100647,0.8164787888526917,True,true positive
validation,230,5,1,1,0.9135005474090576,0.8164787888526917,True,true positive
validation,231,5,1,0,0.38954994082450867,0.8164787888526917,False,false negative
validation,232,0,0,0,0.7839237451553345,0.8164787888526917,True,true negative
validation,233,4,1,1,0.9938018918037415,0.8164787888526917,True,true positive
validation,234,0,0,1,0.8491929173469543,0.8164787888526917,False,false positive
validation,235,0,0,0,0.24893203377723694,0.8164787888526917,True,true negative
validation,236,1,1,1,0.9293708205223083,0.8164787888526917,True,true positive
validation,237,1,1,1,0.9996589422225952,0.8164787888526917,True,true positive
validation,238,1,1,0,0.6954383254051208,0.8164787888526917,False,false negative
validation,239,4,1,1,0.9830202460289001,0.8164787888526917,True,true positive
