image_path,source_class,binary_label,original_width,original_height,cleaned_width,cleaned_height
artifacts/task01/cleaned_train/images/train_0_000000.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000001.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000002.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000003.jpg,0,0,640,480,224,224
artifacts/task01/cleaned_train/images/train_0_000004.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000005.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000006.jpg,0,0,640,427,224,224
artifacts/task01/cleaned_train/images/train_0_000007.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000008.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000009.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000010.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000011.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000012.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000013.jpg,0,0,640,480,224,224
artifacts/task01/cleaned_train/images/train_0_000014.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000015.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000016.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000017.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000018.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000019.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000020.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000021.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000022.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000023.jpg,0,0,480,640,224,224
artifacts/task01/cleaned_train/images/train_0_000024.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000025.jpg,0,0,640,480,224,224
artifacts/task01/cleaned_train/images/train_0_000026.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000027.jpg,0,0,480,640,224,224
artifacts/task01/cleaned_train/images/train_0_000028.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000029.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000030.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000031.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000032.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000033.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000034.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000035.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000036.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000037.jpg,0,0,640,426,224,224
artifacts/task01/cleaned_train/images/train_0_000038.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000039.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000040.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000041.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000042.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000043.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000044.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000045.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000046.jpg,0,0,640,516,224,224
artifacts/task01/cleaned_train/images/train_0_000047.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000048.jpg,0,0,361,640,224,224
artifacts/task01/cleaned_train/images/train_0_000049.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000050.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000051.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000052.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000053.jpg,0,0,640,233,224,224
artifacts/task01/cleaned_train/images/train_0_000054.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000055.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000056.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000057.jpg,0,0,640,426,224,224
artifacts/task01/cleaned_train/images/train_0_000058.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000059.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000060.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000061.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000062.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000063.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000064.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000065.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000066.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000067.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000068.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000069.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000070.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000071.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000072.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000073.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000074.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000075.jpg,0,0,640,313,224,224
artifacts/task01/cleaned_train/images/train_0_000076.jpg,0,0,480,640,224,224
artifacts/task01/cleaned_train/images/train_0_000077.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000078.jpg,0,0,500,345,224,224
artifacts/task01/cleaned_train/images/train_0_000079.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000080.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000081.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000082.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000083.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000084.jpg,0,0,640,480,224,224
artifacts/task01/cleaned_train/images/train_0_000085.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000086.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000087.jpg,0,0,640,514,224,224
artifacts/task01/cleaned_train/images/train_0_000088.jpg,0,0,427,640,224,224
artifacts/task01/cleaned_train/images/train_0_000089.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000090.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000091.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000092.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000093.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000094.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000095.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000096.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000097.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000098.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000099.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000100.jpg,1,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000101.jpg,2,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000102.jpg,0,0,393,480,224,224
artifacts/task01/cleaned_train/images/train_0_000103.jpg,3,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000104.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000105.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000106.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000107.jpg,5,1,320,320,224,224
artifacts/task01/cleaned_train/images/train_0_000108.jpg,0,0,500,375,224,224
artifacts/task01/cleaned_train/images/train_0_000109.jpg,0,0,480,640,224,224
artifacts/task01/cleaned_train/images/train_0_000110.jpg,4,1,270,270,224,224
artifacts/task01/cleaned_train/images/train_0_000111.jpg,0,0,640,480,224,224
